,var,Ut01,NBC_Acc,ACRA_Acc,NB_Acc,NBC_AvgUt,ACRA_AvgUt,NB_AvgUt,NBC_FPR,ACRA_FPR,NB_FPR,NBC_FNR,ACRA_FNR,NB_FNR
30,70.0,-1.0,0.8898349261511729,0.8933970460469156,0.7238053866203301,0.7796698523023458,0.7867940920938314,0.4476107732406603,0.06547344086161942,0.053501349001629485,0.06547344086161942,0.17819715849701603,0.18744175662036885,0.6015707310756297
31,70.0,0.0,0.8898349261511729,0.8933970460469156,0.7238053866203301,0.8898349261511729,0.8933970460469156,0.7238053866203301,0.06547344086161942,0.053501349001629485,0.06547344086161942,0.17819715849701603,0.18744175662036885,0.6015707310756297
32,80.0,-10.0,0.8840139009556907,0.8933970460469156,0.7204170286707212,0.5201563857515203,0.6225890529973935,0.1929626411815812,0.04566392977494939,0.030348562741138778,0.04566392977494939,0.22307585740790242,0.2228254688895861,0.6404178686299615
33,80.0,-5.0,0.888010425716768,0.8935708079930494,0.7246741963509991,0.6536924413553432,0.69748045178106,0.3270199826238054,0.05066517724090612,0.037235003578262836,0.05066517724090612,0.205373526384591,0.21185479654539438,0.6220357345227154
34,80.0,-1.0,0.8898349261511729,0.8934839270199826,0.7238053866203301,0.7796698523023458,0.7869678540399653,0.4476107732406603,0.06547344086161942,0.053945465283683415,0.06547344086161942,0.17819715849701603,0.18662472750926679,0.6015707310756297
35,80.0,0.0,0.8898349261511729,0.8934839270199826,0.7238053866203301,0.8898349261511729,0.8934839270199826,0.7238053866203301,0.06547344086161942,0.053945465283683415,0.06547344086161942,0.17819715849701603,0.18662472750926679,0.6015707310756297
36,90.0,-10.0,0.8840139009556907,0.8930495221546482,0.7204170286707212,0.5201563857515203,0.6195482189400521,0.1929626411815812,0.04566392977494939,0.030772675029967993,0.04566392977494939,0.22307585740790242,0.22302294954098884,0.6404178686299615
37,90.0,-5.0,0.888010425716768,0.8936576889661163,0.7246741963509991,0.6536924413553432,0.6980017376194614,0.3270199826238054,0.05066517724090612,0.03710147672893439,0.05066517724090612,0.205373526384591,0.21183524808569515,0.6220357345227154
38,90.0,-1.0,0.8898349261511729,0.8930495221546482,0.7238053866203301,0.7796698523023458,0.7860990443092963,0.4476107732406603,0.06547344086161942,0.05436246868393124,0.06547344086161942,0.17819715849701603,0.18704574692577902,0.6015707310756297
39,90.0,0.0,0.8898349261511729,0.8930495221546482,0.7238053866203301,0.8898349261511729,0.8930495221546482,0.7238053866203301,0.06547344086161942,0.05436246868393124,0.06547344086161942,0.17819715849701603,0.18704574692577902,0.6015707310756297
